Date/Time	Lamp_State	Fan_State	Bathroom_Humidity	Bathroom_Temperature	Bedroom1_Humidity	Bedroom1_Temperature	Kitchen_Humidity	Kitchen_Temperature	Diningroom_Humidity	Diningroom_Temperature	Livingroom1_Humidity	Livingroom1_Temperature	Livingroom2_Humidity	Livingroom2_Temperature	Bedroom2_Humidity	Bedroom2_Temperature
2019-07-11 12:02:09.518458	1	0	60.0	84.2	30.0	100.4	69.0	73.4	67.0	73.4	48.0	80.6	52.0	80.6	60.0	77.0	
2019-07-11 12:03:13.330682	1	0	60.0	84.2	30.0	100.4	69.0	73.4	68.0	71.6	49.0	80.6	51.0	80.6	60.0	77.0	
2019-07-11 12:04:22.193741	1	0	61.0	84.2	29.0	100.4	69.0	73.4	68.0	73.4	49.0	80.6	51.0	80.6	60.0	77.0	
2019-07-11 12:05:31.081265	1	0	62.0	84.2	31.0	102.2	69.0	73.4	68.0	73.4	49.0	80.6	52.0	80.6	61.0	77.0	
2019-07-11 12:06:45.006627	1	0	62.0	84.2	31.0	102.2	70.0	73.4	68.0	73.4	48.0	80.6	52.0	80.6	60.0	77.0	
2019-07-11 12:07:56.400374	1	0	62.0	84.2	30.0	102.2	70.0	73.4	68.0	73.4	48.0	80.6	51.0	80.6	61.0	77.0	
2019-07-11 12:09:12.875561	1	0	62.0	84.2	29.0	102.2	70.0	73.4	68.0	73.4	49.0	82.4	51.0	80.6	59.0	77.0	
2019-07-11 12:10:21.752070	1	0	158.0	57.2	33.0	104.0	68.0	73.4	66.0	73.4	49.0	82.4	51.0	80.6	59.0	77.0	
2019-07-11 12:11:25.576404	0	1	60.0	84.2	32.0	104.0	68.0	73.4	66.0	73.4	49.0	82.4	52.0	80.6	59.0	77.0	
2019-07-11 12:12:31.907002	0	1	58.0	82.4	31.0	104.0	68.0	73.4	67.0	73.4	152.0	57.2	54.0	80.6	58.0	77.0	
2019-07-11 12:13:45.862750	0	1	61.0	82.4	30.0	100.4	68.0	73.4	67.0	73.4	51.0	80.6	155.0	55.4	58.0	77.0	
2019-07-11 12:15:02.321463	0	1	61.0	82.4	34.0	96.8	68.0	73.4	67.0	73.4	51.0	80.6	56.0	78.8	60.0	77.0	
2019-07-11 12:16:11.188995	0	1	62.0	80.6	34.0	93.2	68.0	73.4	67.0	73.4	51.0	78.8	56.0	78.8	60.0	77.0	
2019-07-11 12:17:22.609965	0	1	62.0	80.6	39.0	89.6	68.0	73.4	67.0	73.4	52.0	78.8	56.0	77.0	60.0	77.0	
2019-07-11 12:18:41.609132	0	1	62.0	80.6	39.0	89.6	68.0	73.4	67.0	71.6	52.0	78.8	55.0	77.0	60.0	77.0	
2019-07-11 12:19:55.557432	0	1	63.0	78.8	41.0	87.8	67.0	73.4	67.0	73.4	51.0	77.0	55.0	77.0	59.0	77.0	
2019-07-11 12:20:59.357004	0	1	63.0	78.8	45.0	84.2	66.0	73.4	67.0	73.4	52.0	77.0	54.0	77.0	59.0	77.0	
2019-07-11 12:22:05.733052	0	1	63.0	78.8	46.0	84.2	66.0	73.4	67.0	73.4	52.0	77.0	54.0	75.2	59.0	77.0	
2019-07-11 12:23:12.064684	0	1	64.0	78.8	47.0	82.4	66.0	73.4	67.0	71.6	53.0	77.0	55.0	75.2	59.0	77.0	
2019-07-11 12:24:20.940489	0	1	63.0	77.0	47.0	80.6	66.0	73.4	67.0	71.6	53.0	75.2	55.0	75.2	59.0	75.2	
2019-07-11 12:25:27.268373	0	1	63.0	77.0	47.0	80.6	66.0	73.4	67.0	71.6	54.0	75.2	56.0	75.2	59.0	75.2	
2019-07-11 12:26:33.623261	0	1	64.0	77.0	49.0	80.6	63.0	73.4	67.0	71.6	54.0	75.2	56.0	75.2	58.0	75.2	
2019-07-11 12:27:42.526719	0	1	64.0	77.0	51.0	78.8	66.0	73.4	67.0	71.6	54.0	75.2	56.0	75.2	58.0	75.2	
2019-07-11 12:28:46.347378	0	1	64.0	77.0	52.0	78.8	66.0	73.4	67.0	71.6	55.0	75.2	57.0	73.4	58.0	75.2	
2019-07-11 12:29:55.209233	0	1	64.0	75.2	53.0	78.8	66.0	73.4	65.0	71.6	55.0	75.2	57.0	73.4	58.0	75.2	
2019-07-11 12:31:04.068749	0	1	65.0	75.2	54.0	77.0	161.0	51.8	65.0	71.6	55.0	75.2	57.0	73.4	58.0	75.2	
2019-07-11 12:32:07.884282	0	1	65.0	75.2	54.0	77.0	66.0	71.6	64.0	71.6	56.0	73.4	57.0	73.4	58.0	75.2	
2019-07-11 12:33:14.232417	0	1	65.0	75.2	55.0	77.0	66.0	71.6	65.0	71.6	56.0	73.4	58.0	73.4	58.0	75.2	
2019-07-11 12:34:18.041488	0	1	66.0	75.2	56.0	77.0	66.0	71.6	64.0	71.6	56.0	73.4	58.0	73.4	58.0	75.2	
2019-07-11 12:35:21.844867	0	1	66.0	75.2	56.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:36:30.725600	0	1	66.0	75.2	56.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:37:39.602232	0	1	66.0	75.2	57.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:38:43.423070	0	1	67.0	75.2	57.0	75.2	67.0	71.6	65.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:39:54.863834	0	1	67.0	75.2	58.0	75.2	66.0	71.6	65.0	71.6	57.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:40:58.681385	0	1	67.0	75.2	58.0	75.2	66.0	71.6	64.0	71.6	57.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:42:05.017817	0	1	67.0	73.4	58.0	75.2	66.0	71.6	64.0	71.6	57.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:43:08.809277	0	1	68.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:44:12.616241	0	1	68.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:45:24.022461	0	0	68.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	58.0	73.4	59.0	73.4	58.0	75.2	
2019-07-11 12:46:27.830995	0	0	68.0	73.4	59.0	75.2	66.0	71.6	65.0	71.6	59.0	73.4	60.0	73.4	58.0	75.2	
2019-07-11 12:47:36.699016	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	73.4	58.0	75.2	
2019-07-11 12:48:43.032195	0	0	68.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:49:54.446844	0	0	68.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	73.4	58.0	75.2	
2019-07-11 12:51:08.359063	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	157.0	51.8	60.0	71.6	58.0	75.2	
2019-07-11 12:52:17.240558	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:53:21.040260	0	0	69.0	73.4	59.0	75.2	67.0	71.6	64.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:54:27.378008	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	158.0	51.8	58.0	75.2	
2019-07-11 12:55:36.236144	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	73.4	61.0	71.6	58.0	75.2	
2019-07-11 12:56:42.573321	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:57:56.501756	0	0	69.0	73.4	59.0	75.2	162.0	51.8	161.0	51.8	60.0	73.4	60.0	71.6	58.0	75.2	
2019-07-11 12:59:05.385007	0	0	69.0	73.4	59.0	75.2	67.0	71.6	66.0	71.6	60.0	73.4	61.0	71.6	58.0	75.2	
2019-07-11 13:00:14.255889	0	0	69.0	73.4	59.0	75.2	68.0	71.6	66.0	71.6	60.0	71.6	61.0	73.4	58.0	75.2	
2019-07-11 13:01:25.650744	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	58.0	75.2	
2019-07-11 13:02:39.558750	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	158.0	51.8	60.0	71.6	58.0	75.2	
2019-07-11 13:03:56.008634	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	58.0	75.2	
2019-07-11 13:05:07.396661	0	0	68.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	60.0	71.6	58.0	73.4	
2019-07-11 13:06:23.901444	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	73.4	61.0	71.6	58.0	73.4	
2019-07-11 13:07:35.287750	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	71.6	158.0	51.8	58.0	75.2	
2019-07-11 13:08:39.084505	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	59.0	71.6	61.0	71.6	59.0	73.4	
2019-07-11 13:09:50.469121	0	0	69.0	73.4	59.0	75.2	66.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	59.0	75.2	
2019-07-11 13:11:19.611268	0	0	69.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	59.0	71.6	61.0	71.6	59.0	73.4	
2019-07-11 13:12:38.637912	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	59.0	75.2	
2019-07-11 13:14:15.362474	0	0	69.0	73.4	59.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	60.0	71.6	59.0	75.2	
2019-07-11 13:15:21.695319	0	0	69.0	73.4	59.0	75.2	66.0	71.6	64.0	71.6	60.0	71.6	61.0	71.6	59.0	73.4	
2019-07-11 13:16:25.499189	0	0	69.0	73.4	60.0	75.2	67.0	71.6	65.0	71.6	60.0	71.6	61.0	71.6	58.0	73.4	
2019-07-11 13:17:34.366725	0	0	69.0	73.4	158.0	53.6	161.0	51.8	65.0	71.6	61.0	71.6	61.0	71.6	58.0	73.4	
2019-07-11 13:18:40.715200	0	0	69.0	73.4	60.0	75.2	67.0	71.6	65.0	71.6	61.0	71.6	61.0	71.6	58.0	73.4	
2019-07-11 13:19:44.516894	0	0	69.0	71.6	60.0	75.2	67.0	71.6	65.0	71.6	61.0	71.6	61.0	71.6	58.0	73.4	
2019-07-11 13:20:55.945360	1	1	69.0	73.4	60.0	75.2	67.0	71.6	65.0	71.6	61.0	71.6	61.0	71.6	59.0	73.4	
2019-07-11 13:22:07.360300	1	1	64.0	78.8	58.0	77.0	62.0	73.4	65.0	71.6	52.0	77.0	60.0	73.4	58.0	73.4	
2019-07-11 13:23:28.930430	1	1	64.0	78.8	58.0	77.0	62.0	73.4	65.0	71.6	154.0	53.6	60.0	73.4	56.0	75.2	
2019-07-11 13:24:35.266947	1	1	57.0	84.2	56.0	78.8	64.0	73.4	65.0	71.6	47.0	80.6	59.0	73.4	56.0	75.2	
2019-07-11 13:25:59.376846	1	1	57.0	84.2	56.0	78.8	63.0	73.4	65.0	71.6	46.0	80.6	59.0	75.2	56.0	77.0	
2019-07-11 13:27:10.754932	1	1	54.0	86.0	55.0	78.8	62.0	75.2	65.0	71.6	150.0	57.2	59.0	75.2	55.0	77.0	
2019-07-11 13:28:19.616395	1	1	53.0	87.8	53.0	80.6	59.0	75.2	66.0	71.6	44.0	82.4	59.0	75.2	55.0	77.0	
2019-07-11 13:29:28.469499	1	1	50.0	91.4	52.0	80.6	62.0	75.2	66.0	71.6	43.0	84.2	59.0	75.2	55.0	77.0	
2019-07-11 13:30:37.341381	1	1	50.0	91.4	52.0	80.6	61.0	75.2	65.0	73.4	40.0	86.0	58.0	75.2	57.0	78.8	
2019-07-11 13:31:41.146088	1	1	49.0	91.4	50.0	80.6	60.0	77.0	65.0	73.4	37.0	86.0	57.0	75.2	56.0	78.8	
2019-07-11 13:32:55.080098	1	1	48.0	91.4	51.0	82.4	59.0	77.0	64.0	73.4	37.0	86.0	156.0	53.6	55.0	80.6	
2019-07-11 13:34:08.993677	1	1	47.0	93.2	50.0	82.4	56.0	77.0	62.0	73.4	37.0	87.8	57.0	75.2	52.0	80.6	
2019-07-11 13:35:33.091445	1	1	46.0	93.2	50.0	82.4	54.0	77.0	62.0	73.4	37.0	87.8	57.0	77.0	51.0	80.6	
2019-07-11 13:36:41.947020	1	1	46.0	93.2	50.0	84.2	56.0	77.0	62.0	73.4	36.0	87.8	56.0	77.0	50.0	80.6	
2019-07-11 13:38:08.561673	1	1	45.0	95.0	50.0	84.2	56.0	77.0	62.0	73.4	36.0	87.8	56.0	77.0	50.0	80.6	
2019-07-11 13:39:37.689520	1	1	45.0	95.0	50.0	84.2	53.0	77.0	62.0	73.4	36.0	87.8	55.0	77.0	51.0	80.6	
2019-07-11 13:40:46.552946	1	1	45.0	95.0	49.0	84.2	60.0	78.8	64.0	73.4	35.0	89.6	54.0	77.0	51.0	80.6	
2019-07-11 13:42:15.691687	1	1	45.0	95.0	48.0	84.2	59.0	78.8	64.0	73.4	35.0	89.6	54.0	77.0	51.0	80.6	
2019-07-11 13:43:19.501692	1	1	46.0	95.0	48.0	84.2	60.0	78.8	65.0	73.4	35.0	89.6	54.0	77.0	51.0	80.6	
2019-07-11 13:44:35.985123	1	1	45.0	95.0	48.0	84.2	60.0	78.8	65.0	73.4	36.0	89.6	54.0	77.0	51.0	80.6	
2019-07-11 13:45:42.332093	1	1	45.0	95.0	47.0	84.2	57.0	78.8	65.0	75.2	36.0	89.6	55.0	77.0	51.0	82.4	
2019-07-11 13:47:01.317853	1	1	44.0	95.0	47.0	84.2	56.0	78.8	64.0	75.2	34.0	89.6	55.0	77.0	50.0	82.4	
2019-07-11 13:48:27.943509	1	1	44.0	95.0	47.0	84.2	56.0	78.8	64.0	75.2	34.0	89.6	55.0	77.0	50.0	82.4	
2019-07-11 13:49:36.815994	1	1	43.0	95.0	47.0	84.2	58.0	78.8	64.0	75.2	34.0	89.6	55.0	77.0	50.0	82.4	
2019-07-11 13:51:00.908905	1	1	43.0	95.0	47.0	84.2	58.0	78.8	63.0	75.2	35.0	89.6	155.0	53.6	50.0	82.4	
2019-07-11 13:52:14.819949	1	1	44.0	93.2	48.0	84.2	58.0	78.8	63.0	75.2	34.0	91.4	56.0	78.8	49.0	82.4	
2019-07-11 13:53:36.364649	1	1	44.0	93.2	48.0	84.2	58.0	78.8	63.0	75.2	33.0	91.4	55.0	78.8	49.0	82.4	
2019-07-11 13:54:47.783496	1	1	45.0	93.2	48.0	84.2	56.0	78.8	62.0	75.2	33.0	91.4	55.0	78.8	49.0	82.4	
2019-07-11 13:55:51.578090	1	1	44.0	95.0	48.0	86.0	54.0	78.8	60.0	75.2	34.0	91.4	54.0	78.8	50.0	82.4	
2019-07-11 13:57:15.640224	1	1	45.0	96.8	48.0	86.0	53.0	78.8	60.0	75.2	34.0	91.4	54.0	78.8	50.0	82.4	
2019-07-11 13:58:24.534625	1	0	44.0	96.8	47.0	86.0	53.0	80.6	60.0	75.2	34.0	91.4	54.0	78.8	49.0	82.4	
2019-07-11 13:59:28.344606	1	0	44.0	96.8	47.0	86.0	53.0	80.6	60.0	75.2	33.0	91.4	55.0	78.8	50.0	84.2	
2019-07-11 14:00:44.814631	1	0	44.0	96.8	48.0	86.0	53.0	78.8	60.0	75.2	33.0	91.4	55.0	78.8	50.0	84.2	
2019-07-11 14:01:53.678125	1	0	45.0	96.8	48.0	86.0	53.0	80.6	61.0	75.2	34.0	91.4	55.0	78.8	50.0	84.2	
2019-07-11 14:03:00.009830	1	0	45.0	96.8	50.0	87.8	53.0	80.6	60.0	75.2	145.0	60.8	55.0	78.8	50.0	84.2	
2019-07-11 14:04:13.944051	1	0	45.0	96.8	47.0	87.8	54.0	80.6	60.0	75.2	34.0	93.2	155.0	55.4	50.0	84.2	
2019-07-11 14:05:35.495175	1	0	45.0	96.8	47.0	87.8	54.0	80.6	61.0	75.2	34.0	93.2	55.0	78.8	50.0	84.2	
2019-07-11 14:06:41.828177	1	0	44.0	98.6	47.0	87.8	54.0	80.6	61.0	75.2	34.0	93.2	55.0	78.8	50.0	84.2	
2019-07-11 14:07:55.752010	1	0	44.0	98.6	46.0	87.8	53.0	80.6	60.0	75.2	33.0	93.2	56.0	78.8	50.0	84.2	
2019-07-11 14:09:37.585726	1	0	44.0	98.6	46.0	87.8	53.0	80.6	60.0	77.0	144.0	62.6	54.0	78.8	49.0	84.2	
2019-07-11 14:10:51.502138	1	0	42.0	98.6	47.0	87.8	53.0	80.6	61.0	77.0	32.0	93.2	54.0	78.8	50.0	84.2	
2019-07-11 14:12:00.387437	1	0	42.0	96.8	46.0	87.8	53.0	80.6	60.0	77.0	32.0	93.2	155.0	55.4	51.0	84.2	
2019-07-11 14:13:06.736193	1	0	43.0	96.8	45.0	87.8	53.0	80.6	60.0	77.0	31.0	93.2	54.0	78.8	51.0	84.2	
2019-07-11 14:14:18.136064	1	0	43.0	95.0	45.0	87.8	53.0	80.6	60.0	77.0	32.0	93.2	154.0	55.4	50.0	84.2	
2019-07-11 14:15:27.019622	1	0	44.0	93.2	45.0	89.6	52.0	80.6	60.0	77.0	143.0	62.6	154.0	55.4	50.0	84.2	
2019-07-11 14:16:40.956908	1	0	43.0	95.0	45.0	87.8	52.0	80.6	60.0	77.0	31.0	93.2	53.0	78.8	50.0	86.0	
2019-07-11 14:17:44.758320	1	0	43.0	95.0	45.0	87.8	52.0	80.6	59.0	77.0	30.0	93.2	155.0	55.4	50.0	84.2	
2019-07-11 14:18:53.635546	1	0	46.0	95.0	45.0	89.6	52.0	80.6	60.0	77.0	30.0	95.0	53.0	78.8	47.0	84.2	
2019-07-11 14:20:12.660290	1	0	43.0	98.6	44.0	87.8	54.0	80.6	60.0	77.0	31.0	95.0	53.0	78.8	47.0	86.0	
2019-07-11 14:21:41.787949	1	0	43.0	98.6	43.0	87.8	54.0	80.6	60.0	77.0	31.0	95.0	52.0	78.8	48.0	84.2	
2019-07-11 14:23:00.746079	1	0	42.0	100.4	45.0	87.8	54.0	80.6	60.0	77.0	31.0	95.0	52.0	78.8	48.0	84.2	
2019-07-11 14:24:12.131651	1	0	41.0	102.2	44.0	87.8	53.0	80.6	60.0	77.0	31.0	93.2	55.0	78.8	48.0	84.2	
2019-07-11 14:25:18.462833	1	0	40.0	102.2	47.0	87.8	52.0	80.6	59.0	77.0	31.0	93.2	55.0	78.8	49.0	84.2	
2019-07-11 14:26:50.101914	1	0	41.0	102.2	47.0	87.8	52.0	80.6	59.0	77.0	32.0	93.2	55.0	78.8	49.0	86.0	
2019-07-11 14:27:56.423005	1	0	40.0	100.4	48.0	87.8	52.0	80.6	59.0	77.0	33.0	93.2	55.0	78.8	49.0	84.2	
2019-07-11 14:29:05.293032	1	0	148.0	66.2	47.0	89.6	52.0	80.6	59.0	77.0	33.0	93.2	155.0	55.4	49.0	86.0	
2019-07-11 14:30:11.613561	1	0	41.0	102.2	47.0	89.6	51.0	80.6	59.0	77.0	33.0	93.2	55.0	80.6	49.0	86.0	
